NAME,ID,TEAM,PLAY_SEASON,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER
Elton Brand,91,atlanta-hawks,2013/2014,7,0,11.6,1.1,1.0,2.3,3.3,0.9,0.14,0.86,0.0,1.4,0.0
Mike Muscala,2490089,atlanta-hawks,2013/2014,2,0,2.5,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0
Jeff Teague,4015,atlanta-hawks,2014/2015,16,16,33.1,16.8,0.6,2.6,3.2,6.7,1.50,0.44,2.7,2.1,2.5
Paul Millsap,3015,atlanta-hawks,2014/2015,16,15,35.4,15.2,2.3,6.4,8.7,3.4,1.56,0.88,2.1,3.3,1.6
DeMarre Carroll,3970,atlanta-hawks,2014/2015,16,16,34.9,14.6,1.6,4.4,6.1,2.0,1.13,0.31,0.9,2.3,2.1
Al Horford,3213,atlanta-hawks,2014/2015,16,16,32.6,14.4,2.5,6.1,8.6,3.7,0.81,1.44,1.6,2.1,2.4
Kyle Korver,2011,atlanta-hawks,2014/2015,14,14,37.6,11.1,0.1,4.9,5.0,2.4,1.43,1.07,1.5,1.9,1.6
Dennis Schroder,3032979,atlanta-hawks,2014/2015,16,0,18.1,9.0,0.3,1.5,1.8,3.9,0.56,0.00,1.7,1.8,2.3
Kent Bazemore,6637,atlanta-hawks,2014/2015,16,2,18.9,5.4,0.2,3.1,3.3,0.8,0.69,0.56,0.7,1.6,1.2
Mike Scott,6622,atlanta-hawks,2014/2015,11,0,15.6,4.5,1.5,2.7,4.2,0.5,0.45,0.00,0.6,1.5,0.7
Mike Muscala,2490089,atlanta-hawks,2014/2015,10,0,10.2,4.2,0.8,1.0,1.8,0.1,0.10,0.30,0.4,1.3,0.3
Pero Antic,2585616,atlanta-hawks,2014/2015,15,1,13.3,4.2,0.6,2.3,2.9,0.3,0.13,0.20,0.3,2.5,0.8
Shelvin Mack,6454,atlanta-hawks,2014/2015,10,0,9.9,3.9,0.2,0.9,1.1,1.0,0.80,0.00,0.2,0.7,5.0
John Jenkins,6594,atlanta-hawks,2014/2015,4,0,5.3,2.5,0.3,0.5,0.8,0.0,0.00,0.00,0.0,0.5,0.0
Elton Brand,91,atlanta-hawks,2014/2015,3,0,1.3,0.3,0.0,0.3,0.3,0.0,0.00,0.00,0.0,1.0,0.0
Paul Millsap,3015,atlanta-hawks,2015/2016,10,10,36.5,16.7,2.8,6.6,9.4,2.7,1.30,2.30,2.6,2.9,1.0
Jeff Teague,4015,atlanta-hawks,2015/2016,10,10,27.9,14.5,0.3,1.6,1.9,6.1,0.60,0.20,2.5,3.0,2.4
Al Horford,3213,atlanta-hawks,2015/2016,10,10,32.7,13.4,1.3,5.2,6.5,3.1,1.20,2.40,1.7,2.5,1.8
Kent Bazemore,6637,atlanta-hawks,2015/2016,10,10,32.5,11.9,0.8,5.8,6.6,1.9,1.50,0.60,1.0,1.4,1.9
Dennis Schroder,3032979,atlanta-hawks,2015/2016,10,0,19.1,11.7,0.6,1.3,1.9,3.6,0.40,0.10,2.1,2.4,1.7
Kyle Korver,2011,atlanta-hawks,2015/2016,10,8,31.6,10.3,0.3,4.5,4.8,1.0,0.90,0.40,0.8,2.3,1.3
Kris Humphries,2433,atlanta-hawks,2015/2016,4,0,14.0,9.3,2.0,4.0,6.0,1.0,0.50,1.25,0.5,2.3,2.0
Mike Scott,6622,atlanta-hawks,2015/2016,10,0,16.1,6.5,0.5,2.7,3.2,0.5,0.30,0.30,0.8,2.0,0.6
